Article ID	Weight	Quantity	Owner	Height	Width	Length	Grade	Coating	Finish
2401/22326	1814	25	source2	2.0	1250.0	3500.0	DD11	geolied	-
2310/16948	2591	37	source2	4.0	775.0	2850.0	DX51D	+Z140	Ma-C
2310/12230	2415	75	source2	0.88	1500.0	3000.0	DX51D	+Z275	Ma-C
2401/28601	1022	32	source2	1.5	1250.0	2115.0	S280GD	+Z275	Ma-C
2310/39305	2022	27	source2	3.0	1250.0	2500.0	S320GD	+Z275	Ma-C
2311/46386	1008	13	source2	3.0	1250.0	2500.0	S320GD	+Z275	Ma-C
2312/15389	2018	27	source2	3.0	1250.0	2500.0	S320GD	+Z275	Ma-C
2311/34840	666	9	source2	2.5	1170.0	3050.0	S350GD	+Z100	Ma-O
2401/15304	1118	10	source2	3.0	1500.0	3000.0	S350GD	+Z275	Ma-C
