Article ID	Weight	Quantity	Owner	Height	Width	Grade	Coating	Finish
2306/63853	23560	1.0	source2	1.0	1250.0	DX51D	+AZ150	-
2306/63846	23660	1.0	source2	1.0	1250.0	DX51D	+AZ150	-
2307/50096	20440	1.0	source2	1.0	1250.0	DX51D	+AZ150	-
2307/50089	20520	1.0	source2	1.0	1250.0	DX51D	+AZ150	-
2306/63860	22620	1.0	source2	1.0	1250.0	DX51D	+AZ150	-
2307/50072	20420	1.0	source2	1.0	1250.0	DX51D	+AZ150	-
2306/63877	13860	1.0	source2	1.0	1250.0	DX51D	+AZ150	-
2307/50102	19750	1.0	source2	1.0	1250.0	DX51D	+AZ150	-
